id,question,answer,link_1,link_2,predict_answer
1953,What is the main food source of larinus?,seeds,https://en.wikipedia.org/wiki/Fregula,https://en.wikipedia.org/wiki/Centaurea,Pasta
1954,What is the name of the technology that is proposed in the Generalized TTL Security Mechanism?,Internet data transfer security method,https://en.wikipedia.org/wiki/Transport_Layer_Security,https://en.wikipedia.org/wiki/Domain_Name_System,Domain Name System
1955,Where is Saint-Cyprien-de-Napierville located?,the Montérégie administrative region,https://en.wikipedia.org/wiki/Saint-Cyprien-de-Napierville,https://en.wikipedia.org/wiki/Napierville,Canada
1956,What river is a tributary of the Manicouagan River?,Toulnustouc River,https://en.wikipedia.org/wiki/Manicouagan_River,https://en.wikipedia.org/wiki/Toulnustouc_River,Toulnustouc River
1957,The Battle of Karanovasa is also known as what battle?,Battle of the Trenches,https://en.wikipedia.org/wiki/Battle_of_Karanovasa,https://en.wikipedia.org/wiki/Battle_of_Rovine,Romania Ottoman conflict
1958,When was John R. Ewer a member of the party that crossed Laurie Island via this pass?,1947–48,https://en.wikipedia.org/wiki/Ewer_Pass,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Missing_encyclopedic_articles/Antarctica/E2,January March 1947
1959,How far away is the state capital of Delhi?,187 kilometres (131 mi),https://en.wikipedia.org/wiki/Delhi,https://en.wikipedia.org/wiki/Capital_city,16 17
1960,How is the protonated form of the electron measured?,by the nucleus,https://en.wikipedia.org/wiki/Histidine,https://en.wikipedia.org/wiki/Deprotonation,under biological conditions
1961,Who is a notable Swedish climate activist?,Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,https://en.wikipedia.org/wiki/School_strike_for_climate,Greta Thunberg
1962,What is the name of the primality test for numbers of the form N = k ⋅ 2n − 1?,Lucas–Lehmer–Riesel test,https://en.wikipedia.org/wiki/Mersenne_prime,https://en.wikipedia.org/wiki/Lucas%E2%80%93Lehmer%E2%80%93Riesel_test,Lucas Lehmer primality test
1963,What is the tallest building in Guatemala?,The Atrium Building,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Central_America,https://en.wikipedia.org/wiki/Tikal_Temple_IV,Trump Ocean Club
1964,The largest Swiss company in terms of vehicle weights is which?,MOWAG,https://en.wikipedia.org/wiki/Gold_as_an_investment,https://en.wikipedia.org/wiki/Moped,Motobécane
1965,In what city does Robin Blau live?,Sydney,https://en.wikipedia.org/wiki/Gary_Blauman,https://en.wikipedia.org/wiki/Peter_Blau,Poughkeepsie
1966,What was the aim of the consulates?,represent the respective German states in the Holy Land or parts thereof,https://en.wikipedia.org/wiki/Diplomatic_mission,"https://en.wikipedia.org/wiki/List_of_German_consuls_in_Jerusalem,_Jaffa,_Haifa_and_Eilat",diplomatic mission
1967,Who reconstructed the dam after it was damaged by an earthquake?,the U.S. Army Corps of Engineers,https://en.wikipedia.org/wiki/Dam_failure,https://en.wikipedia.org/wiki/1971_San_Fernando_earthquake,A crack in the dam went un-repaired
1968,"Who first used the term ""Lycaenid""?",William Bates,https://en.wikipedia.org/wiki/Lycaenidae,https://en.wikipedia.org/wiki/Myrmecophily,Leach
1969,In what county is Eltham located?,"New Kent County, Virginia",https://en.wikipedia.org/wiki/Eltham,"https://en.wikipedia.org/wiki/Eltham,_Virginia",Kent
1970,The most influential form of what is Western comics?,Slapstick,https://en.wikipedia.org/wiki/Western_comics,https://en.wikipedia.org/wiki/Western_(genre),dramatic scripts
1971,What is the name of the CEO of Campus Apartments?,David J. Adelman,https://en.wikipedia.org/wiki/Campus_Apartments,https://en.wikipedia.org/wiki/David_J._Adelman,David J. Adelman
1972,What was the name of the EP that was eventually scrapped?,Warsaw,https://en.wikipedia.org/wiki/List_of_television_series_canceled_before_airing_an_episode,https://en.wikipedia.org/wiki/List_of_television_series_canceled_after_one_episode,Bill and Martha
1973,Which river forms a natural border between the Pulsnitz and the Black Elster?,Unstrut,https://en.wikipedia.org/wiki/List_of_television_series_canceled_before_airing_an_episode,https://en.wikipedia.org/wiki/List_of_television_series_canceled_after_one_episode,empty
1974,What was the name of the American comic book group that created The Intimates?,DC Comics,https://en.wikipedia.org/wiki/The_Intimates,https://en.wikipedia.org/wiki/Joe_Casey,The Intimates
1975,What does Albert Einstein Gator represent?,American alligators,https://en.wikipedia.org/wiki/Albert_and_Alberta_Gator,https://en.wikipedia.org/wiki/General_relativity,American alligators
1976,How many career games did Michael Fucito play in?,4,https://en.wikipedia.org/wiki/Mike_Fucito,https://en.wikipedia.org/wiki/Brad_Evans,32
1977,What is the only member of the Clitellata?,Volutaxiella translucens,https://en.wikipedia.org/wiki/Clitellata,https://en.wikipedia.org/wiki/Annelid,Earthworm
1978,How does the character of Michael Corbett Shea make him look?,fictional,https://en.wikipedia.org/wiki/Mickey_Shea,https://en.wikipedia.org/wiki/Michael_Shannon,fictional
1979,What is a benefit of an impact attenuator?,"reduces the damage to structures, vehicles, and motorists",https://en.wikipedia.org/wiki/Impact_attenuator,https://en.wikipedia.org/wiki/Crumple_zone,The crumple zone on the front of these cars absorbed the impact of an offset head-on collision
1980,How much money did the 2015 ITF Women's Circuit – Hong Kong purse have earned?,"$50,000",https://en.wikipedia.org/wiki/Women%27s_Tennis_Association,https://en.wikipedia.org/wiki/2020_ITF_Women%27s_World_Tennis_Tour,empty
1981,What is the molecular formula of the compound?,CH3C(O)CH3,https://en.wikipedia.org/wiki/Chemical_formula,https://en.wikipedia.org/wiki/Empirical_formula,enumerates the number of atoms
1982,"What was the name of the major league hockey team located in Jacksonville, Florida?",The Jacksonville Barracudas,https://en.wikipedia.org/wiki/Sports_teams_in_Florida,https://en.wikipedia.org/wiki/Sports_in_Florida,National Hockey League
1983,How many players have scored 100 or more tries in an Australian top-level rugby league?,72,https://en.wikipedia.org/wiki/List_of_players_with_100_NRL_tries,https://en.wikipedia.org/wiki/Rugby_league,72
1984,What causes the bacterium Nocardiopsis to become infected?,the virus,https://en.wikipedia.org/wiki/List_of_players_with_100_NRL_tries,https://en.wikipedia.org/wiki/Rugby_league,empty
1985,What is the most extensively studied behavioral trait?,Intelligence,https://en.wikipedia.org/wiki/Cognitive_genomics,https://en.wikipedia.org/wiki/Model_organism,Intelligence
1986,How many games did Jones play in the World Cup of 1970?,2,https://en.wikipedia.org/wiki/1969_World_Series,https://en.wikipedia.org/wiki/Cobi_Jones,fifth
1987,What other name is the Melanella species family known as?,Eulimidae,https://en.wikipedia.org/wiki/Melanella_acuformis,https://en.wikipedia.org/wiki/Melanella_conoidea,Eulimidae
1988,What position was held by Richard Paul Weiland?,Chief Executive Officer of the International Code Council,https://en.wikipedia.org/wiki/Rick_Weiland,https://en.wikipedia.org/wiki/Scott_Weiland,chief executive officer of the International Code Council
1989,What is the name of the American e-commerce website that focuses on handmade or vintage items?,Etsy is an American e-commerce website focused on handmade or vintage items,https://en.wikipedia.org/wiki/Etsy,https://en.wikipedia.org/wiki/Social_commerce,"Etsy, Inc."
1990,Who wrote and drew the comic book story for Marvel?,George Pérez,https://en.wikipedia.org/wiki/Marvel_Comics,https://en.wikipedia.org/wiki/Jack_Kirby,Stan Lee
1991,In what direction is Tibane located?,55 km northwest,"https://en.wikipedia.org/wiki/Tibane,_Limpopo",https://en.wikipedia.org/wiki/Ga-Sebotse,55
1992,What is the controversial website that serves as a support group to give up pornography and masturbation?,NoFap,https://en.wikipedia.org/wiki/NoFap,https://en.wikipedia.org/wiki/Sexual_addiction,Current statusActive NoFap
1993,What type of system is the ZUB 1xx system?,train protection,https://en.wikipedia.org/wiki/ZUB_1xx,https://en.wikipedia.org/wiki/Zub_(disambiguation),ZUB 121 system
1994,What year did he die?,1944,https://en.wikipedia.org/wiki/Al_Capone,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1927
1995,What was the name of the film that was released in 2016?,Brace for Impact,https://en.wikipedia.org/wiki/List_of_American_films_of_2016,https://en.wikipedia.org/wiki/2016_in_film,Rogue One
1996,Where is the Auppegard peak located?,on the eastern coast of the island of Givenchy,https://en.wikipedia.org/wiki/%C3%89tretat,https://en.wikipedia.org/wiki/Normandy,Pays de Caux area
1997,When did Ling-Temco-Vought begin?,1947,https://en.wikipedia.org/wiki/Ling-Temco-Vought,https://en.wikipedia.org/wiki/Vought,1956
1998,What was Robert Black McCready's occupation?,"restaurateur and political figure in New Brunswick, Canada",https://en.wikipedia.org/wiki/Bad_Day_at_Black_Rock,https://en.wikipedia.org/wiki/Bill_Cobbs,StatesLanguageEnglish
1999,When were the first slim brown-colored goblets with nodules in the surface found?,1874,https://en.wikipedia.org/wiki/Lo%C5%A1tice_pottery,https://en.wikipedia.org/wiki/Opal,1874
2000,How many people were reported to be living in Leeville in 2016?,247,"https://en.wikipedia.org/wiki/Golden_Meadow,_Louisiana","https://en.wikipedia.org/wiki/Lafourche_Parish,_Louisiana","1,960"
2001,What's her role in Zimbabwe?,Minister of Foreign Affairs,https://en.wikipedia.org/wiki/Danai_Gurira,https://en.wikipedia.org/wiki/Zimbabwe,
2002,What is the scientific name for the plant that is endemic to Hawaii?,Kadua cordata,https://en.wikipedia.org/wiki/Scaevola_(plant),https://en.wikipedia.org/wiki/Mauna_Kea_silversword,naupaka
2003,What was the name of the platform that allowed individuals to connect with others and fundraise?,Thunderclap,https://en.wikipedia.org/wiki/Social_networking_service,https://en.wikipedia.org/wiki/Crowdfunding,social media
2004,Where is the minimum distance between the cities of San Martín de Unx and Madrid?,9 km,https://en.wikipedia.org/wiki/Social_networking_service,https://en.wikipedia.org/wiki/Crowdfunding,empty
2005,What's the name of the company that makes software for the Movenda device management system?,Movenda,https://en.wikipedia.org/wiki/Wikipedia:Odd_links/report,https://en.wikipedia.org/wiki/Category:Articles_with_a_promotional_tone_from_August_2010,Confluence
2006,Most receptors are classified as what?,non-NMDA-type receptor,https://en.wikipedia.org/wiki/Receptor_(biochemistry),https://en.wikipedia.org/wiki/Acetylcholine_receptor,transmembrane receptors
2007,When was Kronemann born?,"September 3, 1968",https://en.wikipedia.org/wiki/Trevor_Kronemann,https://en.wikipedia.org/wiki/Mike_Briggs_(tennis),"September 3, 1968"
2008,What was the profession of Ferrante de Gemmis?,philosopher,https://en.wikipedia.org/wiki/Vitangelo_Bisceglia,https://en.wikipedia.org/wiki/Gerolamo_Cardano,scholar
2009,What is the museums in Shropshire classified as?,institutions,https://en.wikipedia.org/wiki/List_of_museums_in_Shropshire,https://en.wikipedia.org/wiki/Category:Museums_in_Shropshire,institutions
2010,When was the list of properties and districts on the National Register of Historic Places created?,"February 26, 2021",https://en.wikipedia.org/wiki/National_Register_of_Historic_Places,https://en.wikipedia.org/wiki/History_of_the_National_Register_of_Historic_Places,"The National Register of Historic Places (NRHP) is the United States federal government's official list of districts, sites, buildings, structures and objects deemed worthy of preservation for their historical significance"
2011,What is the tendency for blaming others for their actions also known as?,victimism,https://en.wikipedia.org/wiki/Fundamental_attribution_error,https://en.wikipedia.org/wiki/Locus_of_control,fundamental attribution error
2012,How many times has KIF Kolding won the Danish Handball Championship?,14,https://en.wikipedia.org/wiki/KIF_Kolding,https://en.wikipedia.org/wiki/Anette_Hoffmann,14
2013,Who was elected President of the Republic by the prisoner of conscription?,Paul Martin,https://en.wikipedia.org/wiki/Joe_Biden,https://en.wikipedia.org/wiki/Conscription,empty
2014,What is the largest residential neighborhood in the country?,Historic Center,https://en.wikipedia.org/wiki/List_of_the_largest_school_districts_in_the_United_States_by_enrollment,https://en.wikipedia.org/wiki/Suburb,Texas
2015,What percentage of Brazil's population is comprised by the states of Brazil?,1.66%,https://en.wikipedia.org/wiki/Brazil,"https://en.wikipedia.org/wiki/Northeast_Region,_Brazil",26
2016,What is the tallest building in Shreveport?,Louisiana Tower,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Shreveport,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Louisiana,Regions Tower
2017,What is the name of the fourth single from the album?,Can't Get Enough,https://en.wikipedia.org/wiki/Four_(One_Direction_album),https://en.wikipedia.org/wiki/4_(Beyonc%C3%A9_album),On the Road Again
2018,How many sworn police officers are there in Sanford?,140,https://en.wikipedia.org/wiki/Sanford_Police_Department_(Florida),https://en.wikipedia.org/wiki/Shooting_of_Trayvon_Martin,140
2019,What was the name of the first album of the South Korean duo Running Man?,Running Man,https://en.wikipedia.org/wiki/Kim_Jong-kook,https://en.wikipedia.org/wiki/Haha_(entertainer),Fan Meeting Asian Tour 2014
2020,What city is the headquarters of Drury Hotels Company?,St. Louis,https://en.wikipedia.org/wiki/Drury_Hotels,"https://en.wikipedia.org/wiki/Creve_Coeur,_Missouri",Coeur
2021,What did Francis Blomfield play?,Cambridge University Cricket Club,https://en.wikipedia.org/wiki/Francis_Blomfield,https://en.wikipedia.org/wiki/Miss_Pettigrew_Lives_for_a_Day,Cambridge University Cricket Club
2022,How many votes did DMI get in 1979?,350 votes,https://en.wikipedia.org/wiki/Independent_Municipal_Democracy,https://en.wikipedia.org/wiki/National_Intelligence_Service_(South_Africa),350
2023,Where did the 2019–20 Alcorn State Braves play their home games?,Davey Whitney Complex,https://en.wikipedia.org/wiki/2019%E2%80%9320_Alcorn_State_Braves_basketball_team,https://en.wikipedia.org/wiki/2018%E2%80%9319_Alcorn_State_Braves_basketball_team,Davey Whitney
2024,What is the date of the general election in Vermont?,"November 3, 2020",https://en.wikipedia.org/wiki/2020_Vermont_elections,https://en.wikipedia.org/wiki/2020_United_States_presidential_election_in_Vermont,"November 3, 2020"
2025,Where does Latuff draw parallels between Israel and Nazism?,cartoons,https://en.wikipedia.org/wiki/Carlos_Latuff,https://en.wikipedia.org/wiki/Holocaust_inversion,cartoons
2026,What type of plant is the Bulbophyllum?,an orchid,https://en.wikipedia.org/wiki/Bulbophyllum,https://en.wikipedia.org/wiki/Bulbophyllum_gravidum,orchid
2027,What is the name of the planned community of Hi Hat Ranch?,Hi Hat Ranch,"https://en.wikipedia.org/wiki/Hi_Hat_Ranch,_Florida","https://en.wikipedia.org/wiki/Wellen_Park,_Florida",Hi Hat Ranch
2028,What is the mining district in Alaska called?,Ruby–Poorman,https://en.wikipedia.org/wiki/Willow_Creek_mining_district,https://en.wikipedia.org/wiki/Gold_mining_in_Alaska,Alaska Mining District
2029,When did Kocaeli Stadium open?,2018,https://en.wikipedia.org/wiki/Kocaeli_B.B._Ice_Arena,https://en.wikipedia.org/wiki/Kocaeli_Stadium,2018
2030,The what type of cultures were the Arzachena and Late Neolithic Age?,pre-Nuragic,https://en.wikipedia.org/wiki/Arzachena_culture,https://en.wikipedia.org/wiki/Neolithic,pre-Nuragic
2031,"In what city is the ""Bobby's Room"" located?",Las Vegas,https://en.wikipedia.org/wiki/Big_Game_(poker),https://en.wikipedia.org/wiki/Bellagio_(resort),Las Vegas
2032,What role did actress Sarah Chronis receive in Onderweg naar morgen?,Eva Persijn,https://en.wikipedia.org/wiki/Sarah_Chronis,https://en.wikipedia.org/wiki/Kinderen_voor_Kinderen,Eva Persijn
2033,What was the name of Del-Fi Records' reissue of Ritchie Valens' albums?,Del-Fi Records,https://en.wikipedia.org/wiki/Del-Fi_Records,https://en.wikipedia.org/wiki/The_Best_of_Ritchie_Valens,Bronco Records
2034,How many medals did she win at the 2012 Summer Paralympics?,2,https://en.wikipedia.org/wiki/2012_Summer_Paralympics,https://en.wikipedia.org/wiki/2012_Summer_Paralympics_medal_table,10
2035,What is the name of the Denver-based bluegrass band that includes Johnny James Qualley?,Oakhurst,https://en.wikipedia.org/wiki/Oakhurst_(band),-,Oakhurst
2036,What was the date of the re-election of the General Council of Martinique?,31 March 2011,https://en.wikipedia.org/wiki/Martinican_Independence_Movement,https://en.wikipedia.org/wiki/Josette_Manin,1983
2037,What is the premier example of a catalyst used in water oxidation?,The oxygen evolving complex in photosynthesis,https://en.wikipedia.org/wiki/Water_oxidation_catalysis,https://en.wikipedia.org/wiki/Fischer%E2%80%93Tropsch_process,WOC
2038,What does the shrub known as Hakea invaginata have that is very similar to an introduced species?,"purplish-pink flowers, smooth needle-shaped leaves and the branchlets are thickly covered in hairs",https://en.wikipedia.org/wiki/Proteaceae,https://en.wikipedia.org/wiki/Hakea,empty
2039,What was the title of the position changed by Fischel to?,professor emeritus of Near Eastern languages and cultures,https://en.wikipedia.org/wiki/Arnold_Fischel,https://en.wikipedia.org/wiki/Henry_A._Fischel,Reverend
2040,What did Dennis Yu Yun-kong do early in his career?,designer for Lantian Studios,https://en.wikipedia.org/wiki/Kim_Jong-un,https://en.wikipedia.org/wiki/Donnie_Yen,"martial artist, film director, producer, action choreographer, stuntman, and multiple-time world wushu tournament champion"
2041,How many people left the unincorporated areas within the township in 1990?,2847,"https://en.wikipedia.org/wiki/Middletown_Township,_New_Jersey",https://en.wikipedia.org/wiki/Las_Vegas_Valley,36 19
2042,How many students regularly attend Tesoro High School?,2500,https://en.wikipedia.org/wiki/Tesoro_High_School,https://en.wikipedia.org/wiki/Talk%3ATesoro_High_School,"3,000"
2043,Who was the director of the movie?,Tony Kushner,https://en.wikipedia.org/wiki/Film_director,https://en.wikipedia.org/wiki/The_Wachowskis,Nolan
2044,What was the pen name of Georges Degas?,Armand Liorat,https://en.wikipedia.org/wiki/Armand_Liorat,https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec,Armand Liorat
2045,Who helped develop the principles of the Cadet College Jhelum?,"Head Master, Taisam Khan",https://en.wikipedia.org/wiki/List_of_cadet_colleges_in_Bangladesh,https://en.wikipedia.org/wiki/Military_academy,Cadet College Club Limited
2046,Where did the Lafayette College team play its final home game in 1976?,Hillsboro,https://en.wikipedia.org/wiki/1976_Lafayette_Leopards_football_team,https://en.wikipedia.org/wiki/Joe_Maddon,Fisher Field
2047,Who was the host of Saturday Night Live in its first season?,Chris Pratt,https://en.wikipedia.org/wiki/Saturday_Night_Live_(season_1),https://en.wikipedia.org/wiki/Saturday_Night_Live,"October 11, 1975 to July 31, 1976"
2048,What is the main hub of the Justice Prisoner and Alien Transportation System?,FTC Oklahoma City,https://en.wikipedia.org/wiki/Justice_Prisoner_and_Alien_Transportation_System,"https://en.wikipedia.org/wiki/Federal_Transfer_Center,_Oklahoma_City","Air Operations Division, Air Crew. The Justice Prisoner and Alien Transportation System (JPATS), nicknamed Con Air , 1 or ICE Air 2"
2049,Which event did Marina Marisson win?,long distance running event at the FINA World Championships.,https://en.wikipedia.org/wiki/John_Morrison_(wrestler),https://en.wikipedia.org/wiki/Marina_Diamandis,Santino Marella earn an upset win during a one-sided match against Sheamus
2050,Where were the 2011–12 Grand Prix of Figure Skating Final held?,"Quebec City, Canada",https://en.wikipedia.org/wiki/2011%E2%80%9312_Grand_Prix_of_Figure_Skating_Final,https://en.wikipedia.org/wiki/2011%E2%80%9312_ISU_Grand_Prix_of_Figure_Skating,2011 Cup of Russia
2051,What was Nathaniel Batts the first governor of?,New York,https://en.wikipedia.org/wiki/Nathaniel_Batts,https://en.wikipedia.org/wiki/Abraham_Wood,North Carolina
2052,The abbey of Lobbes was named after what abbot?,Heriger,https://en.wikipedia.org/wiki/Ratherius,https://en.wikipedia.org/wiki/Wolbodo,Abbot Folcwin
2053,Where were the 1950 ICF Canoe Sprint World Championships held?,"Copenhagen, Denmark",https://en.wikipedia.org/wiki/1950_ICF_Canoe_Sprint_World_Championships,https://en.wikipedia.org/wiki/1994_ICF_Canoe_Sprint_World_Championships,"Copenhagen, Denmark"
2054,What's the name of the degree that prepares students to work in the same manner as the MBA candidate?,Master of Science in Marketing,https://en.wikipedia.org/wiki/Master_of_Business_Administration,https://en.wikipedia.org/wiki/Graduate_school,Master of Science in Management
2055,When did Davidson first make his first appearance for the sport?,1830,https://en.wikipedia.org/wiki/Stephen_Curry,https://en.wikipedia.org/wiki/Pete_Davidson,"March 28, 2008"
2056,Where is the Lyceum Schöndeln located?,"Roermond, Netherlands",https://en.wikipedia.org/wiki/Lyceum_Sch%C3%B6ndeln,https://en.wikipedia.org/wiki/File:Lyceum_Schondeln.jpg,"CK Roermond, Netherlands"
2057,When was 'Prison of the Dead' released?,2000,https://en.wikipedia.org/wiki/Prison_of_the_Dead,https://en.wikipedia.org/wiki/Dead_Cells,"August 22, 2000"
2058,What year was Granny Was a Buffer Girl published?,1986,https://en.wikipedia.org/wiki/Granny_Was_a_Buffer_Girl,https://en.wikipedia.org/wiki/Berlie_Doherty,1988
2059,What is the name of the seventh largest glacier in Norway?,Snønipbreen,https://en.wikipedia.org/wiki/Myklebustbreen,https://en.wikipedia.org/wiki/List_of_glaciers,Myklebustbreen
2060,How many victories did Maximilian Götz have in 2003?,6,https://en.wikipedia.org/wiki/Maximilian_G%C3%B6tz,https://en.wikipedia.org/wiki/2003_Formula_BMW_ADAC_season,"1986-02-04) 4 February 1986 (age 35)Ochsenfurt, West GermanyDeutsche Tourenwagen Masters careerDebut season2015"
2061,What is Tanya Gail Gilmore's religion?,Christian,https://en.wikipedia.org/wiki/Mary_Lynn_Rajskub,https://en.wikipedia.org/wiki/Allison_Janney,Hope
2062,What are globular jellyfish able to do?,communicate with each other by forming a bilaterally symmetric cirque,https://en.wikipedia.org/wiki/Actin,https://en.wikipedia.org/wiki/Abell_1689,calcium dication
2063,"When does the ""Top 100 Albums"" chart become available?",Friday,https://en.wikipedia.org/wiki/ARIA_Charts,https://en.wikipedia.org/wiki/UK_Albums_Chart,January 1990
2064,What was the name of the first trophy won by Gary Perchet?,the Amateur Basketball Champions League,https://en.wikipedia.org/wiki/ARIA_Charts,https://en.wikipedia.org/wiki/UK_Albums_Chart,The Official Albums Chart
2065,Where is KDDM broadcast?,"Mount Vernon, Texas",https://en.wikipedia.org/wiki/KKDM,https://en.wikipedia.org/wiki/List_of_radio_stations_in_Texas,Texas
2066,When was the village given a city charter?,1751,https://en.wikipedia.org/wiki/Municipal_charter,https://en.wikipedia.org/wiki/Municipal_corporation,during the Middle Ages
2067,Who wrote the screenplay for 'Coldblooded'?,Wallace Wolodarsky,https://en.wikipedia.org/wiki/Coldblooded_(film),https://en.wikipedia.org/wiki/Cold_Blooded_(song),"Kronke, David"
2068,How many inhabitants were there in 2014?,762191,https://en.wikipedia.org/wiki/List_of_islands_by_population,https://en.wikipedia.org/wiki/World_population,10 million
2069,What is the name of the album that was released in 2010?,The Brothel,https://en.wikipedia.org/wiki/List_of_2010_albums,https://en.wikipedia.org/wiki/Kanye_West_albums_discography,Kesha Animal
2070,What position did Eiliv Skard hold in the University of London?,Reader in philosophy,https://en.wikipedia.org/wiki/M%C3%A5lfrid_Grude_Flekk%C3%B8y,https://en.wikipedia.org/wiki/Portal:Norway/DYK,empty
2071,In what city is the Celestial Pictures headquarters located?,Hong Kong,https://en.wikipedia.org/wiki/Celestial_Pictures,https://en.wikipedia.org/wiki/Shaw_Brothers_Studio,TVB City
2072,Who bought the island from the Saipan?,David Gilmour,https://en.wikipedia.org/wiki/Saipan,https://en.wikipedia.org/wiki/Northern_Mariana_Islands,Northern Mariana Islands
2073,When was the group Trópico Suemba born?,2003,https://en.wikipedia.org/wiki/Josu%C3%A9_%26_Tr%C3%B3pico_Suemba,-,1969
2074,What was the population of Kansas in 2010?,114,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri","https://en.wikipedia.org/wiki/Demographics_of_Wichita,_Kansas","2010 Census counts, the urban core of Kansas City continued to drop significantly in population."
2075,When did Neah Evans start riding for Podium Ambition Pro Cycling?,1 August 1990,https://en.wikipedia.org/wiki/Neah_Evans,https://en.wikipedia.org/wiki/Katie_Archibald,1 August 1990
2076,What animal is responsible for the name Brantville?,brant goose,https://en.wikipedia.org/wiki/Joseph_Brant,https://en.wikipedia.org/wiki/Module_talk:Sandbox/trappist_the_monk/random_sort,Monster
2077,What is the name of the world's first peer-reviewed medical journal?,World Medical & Health Policy,https://en.wikipedia.org/wiki/Academic_journal,https://en.wikipedia.org/wiki/The_BMJ,Medical Essays and Observations
2078,What's the name of the book Polson co-authored with James Scott?,AIQ: How People and Machines Are Smarter Together,https://en.wikipedia.org/wiki/Nicholas_Polson,https://en.wikipedia.org/wiki/The_Dry_(film),AIQ How People and Machines Are Smarter Together
2079,Who was the author of The Hollow Chest?,Phoebe Atwood Taylor,https://en.wikipedia.org/wiki/The_Hollow_Chest,https://en.wikipedia.org/wiki/Pectus_excavatum,empty
2080,What is the occupation of Jonathan McIntosh?,producer,https://en.wikipedia.org/wiki/Jonathan_McIntosh,https://en.wikipedia.org/wiki/Johnny_Appleseed,Pop culture critic
2081,What is the main function of the bugs?,camouflage,https://en.wikipedia.org/wiki/Software_bug,https://en.wikipedia.org/wiki/Insect_physiology,engineering
2082,What did the Nazis and local fascists start to oppose?,more radical proposals of the Popular Front,https://en.wikipedia.org/wiki/Resistance_during_World_War_II,https://en.wikipedia.org/wiki/German_resistance_to_Nazism,1935
2083,What is the museum located in the former Cambria Public Library?,The Johnstown Flood Museum,https://en.wikipedia.org/wiki/Johnstown_Flood_Museum,"https://en.wikipedia.org/wiki/Cambria,_California",Cambria Historical Museum
2084,How many full time commissioners does the NIFSAB have?,3,https://en.wikipedia.org/wiki/Johnstown_Flood_Museum,"https://en.wikipedia.org/wiki/Cambria,_California","30,000"
2085,Who did KSK Chaitanya start his first class career with?,Hyderabad,https://en.wikipedia.org/wiki/KSK_Chaitanya,https://en.wikipedia.org/wiki/List_of_Hyderabad_cricketers,Indian
2086,What did the Irish Chamber Orchestra add in 2008?,horn players and oboes,https://en.wikipedia.org/wiki/Irish_Chamber_Orchestra,https://en.wikipedia.org/wiki/Jennifer_Walshe,horn players and oboes
2087,How are glissades compared to sliding?,higher risks of injuries,https://en.wikipedia.org/wiki/Glissade_(climbing),https://en.wikipedia.org/wiki/Glissando,clearly audible
2088,How many households are inhabited in Hosahudya?,419,https://en.wikipedia.org/wiki/Madanapalle,https://en.wikipedia.org/wiki/Bangalore_Rural_district,20
2089,What was the name of the mini-series that was published by 88MPH Studios?,Legion,https://en.wikipedia.org/wiki/Ghostbusters:_Legion,https://en.wikipedia.org/wiki/Ghostbusters_(comics),Ghostbusters Legion
2090,What is the name of the regional park in King County?,Cougar Mountain Regional Wildland Park,https://en.wikipedia.org/wiki/Cougar_Mountain_Regional_Wildland_Park,"https://en.wikipedia.org/wiki/King_County,_Washington",Cougar Mountain Regional Wildland Park
2091,What year was The Governors set?,1894,https://en.wikipedia.org/wiki/Term_limits_in_the_United_States,https://en.wikipedia.org/wiki/Governor_of_Texas,1776
2092,Who wrote the script for 'Gold Throne'?,Bijgupta Laishram,https://en.wikipedia.org/wiki/Game_of_Thrones,https://en.wikipedia.org/wiki/Curse_of_the_Golden_Flower,76 Cogman
2093,Who created the Argo browser?,Bert Bos,https://en.wikipedia.org/wiki/Argo_(web_browser),https://en.wikipedia.org/wiki/Argo_(disambiguation),Bert Bos
2094,What is the only component of a stem like a harmonic?,notehead,https://en.wikipedia.org/wiki/Notehead,https://en.wikipedia.org/wiki/Harmonic_mean,notehead
2095,How many games are in the WonderSwan Color?,90,https://en.wikipedia.org/wiki/List_of_WonderSwan_Color_games,https://en.wikipedia.org/wiki/WonderSwan,90
2096,Where is North Montgomery High School?,"unincorporated Montgomery County, Indiana",https://en.wikipedia.org/wiki/North_Montgomery_High_School,https://en.wikipedia.org/wiki/North_Montgomery_School_Corporation,"unincorporated Montgomery County, Indiana"
2097,When was S7N's debut album released?,"November 25, 2013",https://en.wikipedia.org/wiki/Fearless_(S7N_album),https://en.wikipedia.org/wiki/Deadline_(S7N_album),2013
2098,Who was reported as having suicide in March 2015?,farmers,https://en.wikipedia.org/wiki/Germanwings_Flight_9525,https://en.wikipedia.org/wiki/Death_of_Sandra_Bland,Andreas Lubitz
2099,How many races has she won?,6,https://en.wikipedia.org/wiki/Danica_Patrick,https://en.wikipedia.org/wiki/Hailie_Deegan,191
